Item,Trial Type,Timing,Text,Settings,Combination,Combo_Code,Severity,Interaction,"AdvShuffle List; Target Severity, Interaction",Shuffle
0,instruct,user,"<p> In this experiment, imagine that you're at your doctor's office and he or she is describing some interactions that may occur between medications that you're taking, and/or between substances you take and foods that you eat.</p> <p> A <i> drug interaction</i> occurs when one drug affects the activity of another drug when both are used together.</p> <p> <i> Drug-food interactions </i> can also occur when the food someone eats affects the medication he or she takes.</p>
",,,,,,,off
0,instruct,user,"<p> Sometimes these interactions can be severe, causing life-threatening side effects. </p> <p> Other interactions can be mild, causing slight side effects.</p> <p> Sometimes there is no significant interaction between two substances. </p>",,,,,,,off
0,instruct,user,"<p> In this experiment, imagine that your doctor will describe the interactions between several pairs of substances. Your doctor will also tell you the the severity of the interaction between the two substances, if you were to take them together.</p>
<p>If an interaction is <b> severe </b> , the side effects will be life-threatening. If an interaction is <b> mild </b> , the side effects will be slight. If there is <b> no interaction </b>, the drugs can be taken together without side effects. In this experiment, each pair of medications and/or foods will be shown with the severeity of their interaction and an example of what would happen if you were to take those medications together (such as ""dizziness."") </p>",,,,,,,off
0,instruct,user,"<p> Again, please remember as much information about the substances and their interactions as you can. </p>
<p>When you're ready to begin the experiment, click ''Next.''</p>",,,,,,,off
"2,3",interaction,7,,,"fake,fake",0,No interaction,,1,study1
"4,5",interaction,7,,,"fake,fake",0,No interaction,,2,study1
"6,7",interaction,7,,,"fake,fake",0,No interaction,,3,study1
"8,17",interaction,7,,,"fake,real",1,No interaction,,4,study1
"9,18",interaction,7,,,"fake,real",1,No interaction,,5,study1
"10,19",interaction,7,,,"fake,real",1,Mild,skin rash,6,study1
"20,21",interaction,7,,,"real,real",2,Mild,drowsiness,7,study1
"22,23",interaction,7,,,"real,real",2,Mild,upset stomach,8,study1
"24,25",interaction,7,,,"real,real",2,Mild,dry mouth,9,study1
"11,32",interaction,7,,,"fake,food",3,Mild,headache,10,study1
"12,33",interaction,7,,,"fake,food",3,Severe,heart attack,11,study1
"13,34",interaction,7,,,"fake,food",3,Severe,liver failure,12,study1
"26,35",interaction,7,,,"real,food",4,Severe,internal bleeding,13,study1
