Item,Trial Type,Timing,Text,Settings,Combination,Combo_Code,Severity,Interaction,"AdvShuffle List; Target Severity, Interaction",Shuffle
0,instruct,user,"<p> In this experiment, imagine that you are visiting your doctor's office. Your doctor is describing some interactions that may occur between medications that you're taking.</p> <p> A <i> medication interaction</i> occurs when one drug affects the activity of another drug when both are used together.</p>  <p>Please advance to see more instructions.</p>",,,,,,,off
0,instruct,user,"<p>During this task, you will study several medication interactions, and your memory will later be tested. </p>
<p>For each interaction that you study, you will see two medications and the outcome that would occur if they were to be taken together (e.g., ""dry mouth""). Each outcome will only occur once -- that is, only one pair of medications will result in dry mouth.  </p> <p>Please advance to see more instructions.</p>",,,,,,,off
0,instruct,user,"<p> Please remember as much information about the substances and their interactions as you can. </p>
<p>When you're ready to begin the experiment, click ''Next.''</p> ",,,,,,,off
"2,3",interaction,7,,,"fake,fake",0,dry mouth,,1,study1
"2,4",interaction,7,,,"fake,fake",0,itching,,2,study1
"2,17",interaction,7,,,"fake,real",1,cough,,3,study1
"2,18",interaction,7,,,"fake,real",1,trembling,,4,study1
"2,19",interaction,7,,,"fake,real",1,flushing,,5,study1
"3,4",interaction,7,,,"fake,fake",0,fever,,6,study1
"3,17",interaction,7,,,"fake,real",1,fatigue,,7,study1
"3,18",interaction,7,,,"fake,real",1,bloating,,8,study1
"3,19",interaction,7,,,"fake,real",1,clumsiness,,9,study1
"4,17",interaction,7,,,"fake,real",1,nausea,,10,study1
"4,18",interaction,7,,,"fake,real",1,diarrhea,,11,study1
"4,19",interaction,7,,,"fake,real",1,arm pain,,12,study1
"17,18",interaction,7,,,"real,real",2,insomnia,,13,study1
"17,19",interaction,7,,,"real,real",2,hives,,14,study1
"18,19",interaction,7,,,"real,real",2,anxiety,,15,study1
0,instruct,user,<p> You will now be presented with each pair and asked to recall as many of the outcomes as you can. Please take as much time as you need. </p>,,,,,,,off
"2,3",interactionTest,user,,,"fake,fake",0,dry mouth,,1,test1
"2,4",interactionTest,user,,,"fake,fake",0,itching,,2,test1
"2,17",interactionTest,user,,,"fake,real",1,cough,,3,test1
"2,18",interactionTest,user,,,"fake,real",1,trembling,,4,test1
"2,19",interactionTest,user,,,"fake,real",1,flushing,,5,test1
"3,4",interactionTest,user,,,"fake,fake",0,fever,,6,test1
"3,17",interactionTest,user,,,"fake,real",1,fatigue,,7,test1
"3,18",interactionTest,user,,,"fake,real",1,bloating,,8,test1
"3,19",interactionTest,user,,,"fake,real",1,clumsiness,,9,test1
"4,17",interactionTest,user,,,"fake,real",1,nausea,,10,test1
"4,18",interactionTest,user,,,"fake,real",1,diarrhea,,11,test1
"4,19",interactionTest,user,,,"fake,real",1,arm pain,,12,test1
"17,18",interactionTest,user,,,"real,real",2,insomnia,,13,test1
"17,19",interactionTest,user,,,"real,real",2,hives,,14,test1
"18,19",interactionTest,user,,,"real,real",2,anxiety,,15,test1
0,instruct,user,<p> You will now see the same interactions again. Please try to remember as much information about them as you can. </p>,,,,,,,off
"2,3",interaction,7,,,"fake,fake",0,dry mouth,,1,study2
"2,4",interaction,7,,,"fake,fake",0,itching,,2,study2
"2,17",interaction,7,,,"fake,real",1,cough,,3,study2
"2,18",interaction,7,,,"fake,real",1,trembling,,4,study2
"2,19",interaction,7,,,"fake,real",1,flushing,,5,study2
"3,4",interaction,7,,,"fake,fake",0,fever,,6,study2
"3,17",interaction,7,,,"fake,real",1,fatigue,,7,study2
"3,18",interaction,7,,,"fake,real",1,bloating,,8,study2
"3,19",interaction,7,,,"fake,real",1,clumsiness,,9,study2
"4,17",interaction,7,,,"fake,real",1,nausea,,10,study2
"4,18",interaction,7,,,"fake,real",1,diarrhea,,11,study2
"4,19",interaction,7,,,"fake,real",1,arm pain,,12,study2
"17,18",interaction,7,,,"real,real",2,insomnia,,13,study2
"17,19",interaction,7,,,"real,real",2,hives,,14,study2
"18,19",interaction,7,,,"real,real",2,anxiety,,15,study2
0,instruct,user,<p> You will now be presented with each pair and asked to recall as many of the outcomes as you can. Please take as much time as you need. </p>,,,,,,,off
"2,3",interactionTest,user,,,"fake,fake",0,dry mouth,,1,test2
"2,4",interactionTest,user,,,"fake,fake",0,itching,,2,test2
"2,17",interactionTest,user,,,"fake,real",1,cough,,3,test2
"2,18",interactionTest,user,,,"fake,real",1,trembling,,4,test2
"2,19",interactionTest,user,,,"fake,real",1,flushing,,5,test2
"3,4",interactionTest,user,,,"fake,fake",0,fever,,6,test2
"3,17",interactionTest,user,,,"fake,real",1,fatigue,,7,test2
"3,18",interactionTest,user,,,"fake,real",1,bloating,,8,test2
"3,19",interactionTest,user,,,"fake,real",1,clumsiness,,9,test2
"4,17",interactionTest,user,,,"fake,real",1,nausea,,10,test2
"4,18",interactionTest,user,,,"fake,real",1,diarrhea,,11,test2
"4,19",interactionTest,user,,,"fake,real",1,arm pain,,12,test2
"17,18",interactionTest,user,,,"real,real",2,insomnia,,13,test2
"17,19",interactionTest,user,,,"real,real",2,hives,,14,test2
"18,19",interactionTest,user,,,"real,real",2,anxiety,,15,test2
0,instruct,user,<p> You will now see the same interactions again. Please try to remember as much information about them as you can. </p>,,,,,,,off
"2,3",interaction,7,,,"fake,fake",0,dry mouth,,1,study3
"2,4",interaction,7,,,"fake,fake",0,itching,,2,study3
"2,17",interaction,7,,,"fake,real",1,cough,,3,study3
"2,18",interaction,7,,,"fake,real",1,trembling,,4,study3
"2,19",interaction,7,,,"fake,real",1,flushing,,5,study3
"3,4",interaction,7,,,"fake,fake",0,fever,,6,study3
"3,17",interaction,7,,,"fake,real",1,fatigue,,7,study3
"3,18",interaction,7,,,"fake,real",1,bloating,,8,study3
"3,19",interaction,7,,,"fake,real",1,clumsiness,,9,study3
"4,17",interaction,7,,,"fake,real",1,nausea,,10,study3
"4,18",interaction,7,,,"fake,real",1,diarrhea,,11,study3
"4,19",interaction,7,,,"fake,real",1,arm pain,,12,study3
"17,18",interaction,7,,,"real,real",2,insomnia,,13,study3
"17,19",interaction,7,,,"real,real",2,hives,,14,study3
"18,19",interaction,7,,,"real,real",2,anxiety,,15,study3
0,instruct,user,<p> You will now be presented with each pair and asked to recall as many of the outcomes as you can. Please take as much time as you need. </p>,,,,,,,off
"2,3",interactionTest,user,,,"fake,fake",0,dry mouth,,1,test3
"2,4",interactionTest,user,,,"fake,fake",0,itching,,2,test3
"2,17",interactionTest,user,,,"fake,real",1,cough,,3,test3
"2,18",interactionTest,user,,,"fake,real",1,trembling,,4,test3
"2,19",interactionTest,user,,,"fake,real",1,flushing,,5,test3
"3,4",interactionTest,user,,,"fake,fake",0,fever,,6,test3
"3,17",interactionTest,user,,,"fake,real",1,fatigue,,7,test3
"3,18",interactionTest,user,,,"fake,real",1,bloating,,8,test3
"3,19",interactionTest,user,,,"fake,real",1,clumsiness,,9,test3
"4,17",interactionTest,user,,,"fake,real",1,nausea,,10,test3
"4,18",interactionTest,user,,,"fake,real",1,diarrhea,,11,test3
"4,19",interactionTest,user,,,"fake,real",1,arm pain,,12,test3
"17,18",interactionTest,user,,,"real,real",2,insomnia,,13,test3
"17,19",interactionTest,user,,,"real,real",2,hives,,14,test3
"18,19",interactionTest,user,,,"real,real",2,anxiety,,15,test3
0,instruct,user,"<p> Debrief: Some of the medications presented in this experiment do have real effects, but are not meant to serve as an informational or diagnostic tool. Some of the medications presented above are fictitious, and therefore do not actually have any effect. Please contact your own doctor if you have any questions regarding the side effects of your personal medication.</p> <p> The following medications you saw were fictitious: <br> Rolidal <br>
Lipal <br>
Pylacor <br>
Floragin <br>
Volapram <br>
Lypamol<br>
Promazatol<br>
Clavosec<br>
Avaridol<br>
Durapam <br>
Volexum <br>
Tretonin <br>
Dypraxa <br>
Doloxan <br>
Phedrazone <br>",,,,,,,off
